Brand,Category,Details,DrugFacts,NumberofReviews,Path,Price,ProductLink,ProductName,StarRating,SubCategory
Da Bomb Bath Fizzers,Beauty,"Phthalate Free
Paraben Free
Sulfate Free
Cruelty Free
Vegan
Highlights
Fun bath bomb dissolves to reveal a calming message
Lavender scent relaxes and de-stresses
Skin-soothing ingredients leave your skin soft
Put the ""F"" in fizz with the ""F"" Bomb Bath Soak from Da Bomb Bath Fizzers. This wonderful, whimsical bath fizzer is infused with lavender for the ultimate in relaxation while rejuvenating the mind, body and soul. This purple bath bomb dissolves to reveal a calming message perfect at the end of a long day.
Scent: Lavender
Suggested Age: All Ages
Health Facts: Aluminum-free, dye-free, gluten-free, paraben-free, sodium lauryl sulfate-free, Sulfate-free, vegan, phthalate-free, fluoride-free
Product Form: Bath bomb
Sustainability Claims: Cruelty-free
Sustainability Certifications: Certified Gluten Free
Recommended Skin Type: Normal, combination
TCIN: 51236722
UPC: 856901006265
Item Number (DPCI): 037-08-1738
Phthalate Free
A product that either carries an unqualified on-pack statement indicating that the product is free from phthalates, or carries an unqualified on-pack statement ""no phthalates.""
Paraben Free
A product that either carries an unqualified on-pack statement indicating that the product is free from parabens, or carries an unqualified on-pack statement ""no parabens.""
Sulfate Free
A product that either makes an unqualified on-pack statement indicating that it does not contain sulfates (not added sulfates); or carries an unqualified on-pack statement ""no sulfates"" or ""sulfate-free"".
Cruelty Free
A product has an independent third-party certification on pack or unqualified on-pack marketing claim relating to being cruelty-free and/or not tested on animals.
Vegan
A product that carries an unqualified independent, third-party certification, or carries on-pack statement relating to the product being 100% vegan.
See how we make shopping for wellness even easier.
Learn more about our wellness icons
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.","Inactive ingredients
Baking Soda, Citric Acid, Food Grade Peg, Fragrance. May Contain Sugar Topping, Cosmetic Grade Pigment And/or Mica.",25,Target/Beauty/Bath & Body/Bath Bombs,$4.99,https://www.target.com/p/da-bomb-bath-fizzers-f-bomb-bath-soak/-/A-51236722,"Da Bomb Bath Fizzers ""F"" Bomb Bath Soak",3.4,Bath & Body
Sonia Kashuk,Beauty,"Chat with a Target Beauty Concierge
Highlights
Set of 2 large makeup blender sponges is a must-have beauty essential
Made with a latex-free material that applies liquids and creams like a dream
Rounded, egg-like shape allows you to cover every part of your face easily
Simply apply products with a bouncing motion to create flawless looks
Unique marbled design adds a chic touch to your beauty counter
This Latex-Free Makeup Blender Sponge Set from Sonia Kashuk™ makes it easy to buff and blend your favorite cream or liquid beauty products to create flawless looks. Each sponge blender in this set is made with a latex-free material that allows liquids and creams to sit on top of the sponge, helping you get the most out of your products. The rounded, egg-like design makes it easy to apply product all over your face while creating a flawless application with every use. With two large blenders that both have chic marble designs, you can easily use this makeup blender sponge set to put on your liquid or cream products — use a bouncing motion to create looks you'll love to flaunt.
Number of Pieces: 2
Recommended Use: Multi-purpose
Material: Polyurethane Foam
Care & Cleaning: Wash with Soap and Water
TCIN: 52823147
UPC: 490521113080
Item Number (DPCI): 052-11-1308
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.",,55,Target/Beauty/Makeup/Makeup Tools & Brushes,$7.00,https://www.target.com/p/sonia-kashuk-8482-latex-free-makeup-blender-sponge-marble-2pk/-/A-52823147,Sonia Kashuk™ Latex-Free Makeup Blender Sponge - Marble - 2pk,4.4,Makeup
Love Beauty and Planet,Beauty,"Clean
Paraben Free
Sulfate Free
Cruelty Free
Dye-Free
Vegan
Highlights
OUR PROMISE: Love Beauty and Planet Argan Oil & Lavender Body Wash moisturizes and envelops your skin in a soothing relaxed feel.
RELAXING RAIN BODY WASH FOR WOMEN: Our Relaxing Rain bodywash is infused with Organic Coconut Oil for skin and helps nourish for soft, smooth skin - day or nigh
VEGAN BODY WASH WITH INGREDIENTS INSPIRED BY NATURE: Infused with Natural Argan Oil and Heirloom French Lavender, the scent of this moisturizing body wash calms the spirit and mind
YES Ethically Sourced Lavender, YES Vegan Body Wash, YES Organic Coconut Oil for Skin, YES Sensitive Skin Body Wash, YES Womens Body Wash
BODYWASH FORMULA WITH SIX FREE FROMS: Cruelty-free, Paraben-free, Silicone-free, Sulfate-free, Dye-free, Phthalate-free
At Love Beauty and Planet we are committed to acts of love that make you and our planet a little more beautiful, everyday. Our goal is a carbon footprint so small it's like we weren't even here. We started our journey by loading our beauty products with goodness. Every one of our body wash bottles is made from 100% recycled materials and are recyclable. Our caps and pumps aren't made from recycled plastics yet, but we're working on it. We started our journey by loading our products with mild cleansers and ethically sourced fragrances. Envelop yourself with our Relaxing Rain Paraben Free Body Wash for a soothing-relaxed feel. Our relaxing Argan Oil and Lavender body wash is made with no sulfate cleansers, no parabens and is infused with plant based cleansers, leaving you and the planet a little more beautiful. Calm the spirit and mind with heirloom French Lavender, ethically sourced from the Drôme Provençale Region of France. How to use? You know it - squeeze, lather, rinse. Go easy on the tap. Don't stop with soft and smooth skin! For brilliantly beautiful hair, try our Love Beauty and Planet Argan Oil and Lavender Smooth and Serene Shampoo, Conditioner and Leave-in Cream to complete your beauty routine. At Love, Beauty and Planet, we are starting a beautiful movement. Are you in? To learn more about this bodywash or our other vegan and paraben free body wash products, visit lovebeautyandplanet.com.
Scent: Floral
Suggested Age: All Ages
Health Facts: Aluminum-free, dye-free, paraben-free, Sulfate-free, vegan, phthalate-free, formaldehyde donor-free, formaldehyde-free, butylparaben-free, nonylphenol ethoxylate free
Product Form: Liquid
Sustainability Claims: Cruelty-free, plant-based
Beauty Purpose: Basic cleansing
Recommended Skin Type: Normal
TCIN: 52732789
UPC: 055086000420
Item Number (DPCI): 049-00-2647
Clean
Your clear choice for clean.  Ingredients these products are formulated without, by category: • Beauty, Personal Care & Cleaning - formulated without Phthalates, Propyl-paraben & Butyl-paraben, Sodium Laureth Sulfate (SLES). • Feminine Care, Adult Care & Diapers - fragrance free and chlorine free. • Pets - formulated with meat, poultry, or seafood as the first ingredient, and without artificial colors, flavors, or preservatives.
Paraben Free
A product that either carries an unqualified on-pack statement indicating that the product is free from parabens, or carries an unqualified on-pack statement ""no parabens.""
Sulfate Free
A product that either makes an unqualified on-pack statement indicating that it does not contain sulfates (not added sulfates); or carries an unqualified on-pack statement ""no sulfates"" or ""sulfate-free"".
Cruelty Free
A product has an independent third-party certification on pack or unqualified on-pack marketing claim relating to being cruelty-free and/or not tested on animals.
Dye-Free
A product that either makes an unqualified on-pack statement indicating that it does not contain dye, or carries an unqualified on-pack statement such as ""no dyes"" or ""dye-free.""
Vegan
A product that carries an unqualified independent, third-party certification, or carries on-pack statement relating to the product being 100% vegan.
See how we make shopping for wellness even easier.
Learn more about our wellness icons
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.","Inactive ingredients
Water, Cocamidopropyl Betaine*, Sodium Lauroyl Glycinate*, Sodium Lauroyl Isethionate*, Sodium Chloride, Lauric Acid*, Glycerin*, Cocos Nucifera (coconut) Oil*, Argania Spinosa Kernel Oil*, Fragrance, Lavandula Angustifolia (lavender) Oil*, Carbomer, Phenoxyethanol, Styrene/acrylates Copolymer, Peg-150 Pentaerythrityl Tetrastearate, Citric Acid, Stearic Acid*, Ppg-2 Hydroxyethyl Cocamide, Bht, Sodium Isethionate, Tetrasodium Edta, Etidronic Acid, Iodopropynyl Butylcarbamate, Citronellol, Coumarin, Limonene, Linalool.",176,Target/Beauty/Bath & Body/Body Wash & Shower Gel,$6.99,https://www.target.com/p/love-beauty-and-planet-argan-oil-and-lavender-body-wash-16oz/-/A-52732789,Love Beauty and Planet Argan Oil and Lavender Body Wash - 16oz,4.5,Bath & Body
bliss,Beauty,"Chat with a Target Beauty Concierge
Clean
Phthalate Free
Paraben Free
Cruelty Free
Highlights
Potent, vegetable-derived serum moisturizes and smooths the eye area
Hugs facial contours and forms a protective barrier to intensify serum delivery and absorption
CRUELTY-FREE
These foil-backed holographic eye masks refresh and awaken eyes while helping visibly reduce puffiness and dark circles.
Scent: Unscented
Health Facts: Sulfate-free, butylparaben-free, formaldehyde donor-free, formaldehyde-free, nonylphenol ethoxylate free, paraben-free, phthalate-free, propylparaben-free
Product Warning: Adult Use Only
Product Form: Patch
Sustainability Claims: Cruelty-free
Beauty Purpose: Dark circle reduction
Recommended Skin Type: Mature, normal
TCIN: 75561326
UPC: 651043300635
Item Number (DPCI): 037-12-0656
Healthcare Disclaimer:
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers.
Clean
Your clear choice for clean.  Ingredients these products are formulated without, by category: • Beauty, Personal Care & Cleaning - formulated without Phthalates, Propyl-paraben & Butyl-paraben, Sodium Laureth Sulfate (SLES). • Feminine Care, Adult Care & Diapers - fragrance free and chlorine free. • Pets - formulated with meat, poultry, or seafood as the first ingredient, and without artificial colors, flavors, or preservatives.
Phthalate Free
A product that either carries an unqualified on-pack statement indicating that the product is free from phthalates, or carries an unqualified on-pack statement ""no phthalates.""
Paraben Free
A product that either carries an unqualified on-pack statement indicating that the product is free from parabens, or carries an unqualified on-pack statement ""no parabens.""
Cruelty Free
A product has an independent third-party certification on pack or unqualified on-pack marketing claim relating to being cruelty-free and/or not tested on animals.
See how we make shopping for wellness even easier.
Learn more about our wellness icons
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.","Inactive ingredients
Water, Glycerin, Methylpropanediol, Dipropylene Glycol, 1, 2-hexanediol, Saccharomyces Cerevisiae Extract, Acetyl Hexapeptide-8, Sodium Hyaluronate, Xylitol, Xylitylglucoside, Anhydroxylitol, Arginine, Allantoin, Glycereth-26, Ethylhexyl Stearate, Polyglyceryl-10 Laurate, Glyceryl Acrylate/acrylic Acid Copolymer, Pvm/ma Copolymer, Carbomer, Trideceth-6, Butylene Glycol, Propanediol, Sodium Polyacrylate, Disodium Edta, Ethylhexylglycerin, Fragrance",80,Target/Beauty/Skin Care/Facial Treatments,$3.99,https://www.target.com/p/bliss-eye-got-this-holographic-foil-eye-masks-14-oz/-/A-75561326,Bliss Eye Got This Holographic Foil Eye Masks - .14 oz,4.5,Skin Care
Da Bomb Bath Fizzers,Beauty,"Phthalate Free
Paraben Free
Sulfate Free
Cruelty Free
Vegan
Highlights
Makes bathtime fun with a surprise in every bath bomb
Made with skin-soothing ingredients
Earth Bombs are cruelty-free and ingredients are vegan
Make the ocean a better place with every bath you take with Earth Bomb Bath Soak from Da Bomb Bath Fizzers. A portion from each sale is donated to ocean preservation projects. These earth-inspired bath bombs created by sisterpreneurs are designed to fizz up and infuse the bath water with oils and a clean, fresh sea mist scent. Hold the bath bomb in your hand as it fizzes in the water to catch the surprise in the middle.
Scent: Sea mist, sea minerals
Suggested Age: All Ages
Health Facts: Vegan, paraben-free, sodium lauryl sulfate-free, gluten-free, phthalate-free, Sulfate-free, dye-free, aluminum-free
Product Form: Bath bomb
Sustainability Claims: Cruelty-free
Sustainability Certifications: Certified Gluten Free
Recommended Skin Type: Combination, normal
TCIN: 51236352
UPC: 856901006272
Item Number (DPCI): 037-08-2093
Phthalate Free
A product that either carries an unqualified on-pack statement indicating that the product is free from phthalates, or carries an unqualified on-pack statement ""no phthalates.""
Paraben Free
A product that either carries an unqualified on-pack statement indicating that the product is free from parabens, or carries an unqualified on-pack statement ""no parabens.""
Sulfate Free
A product that either makes an unqualified on-pack statement indicating that it does not contain sulfates (not added sulfates); or carries an unqualified on-pack statement ""no sulfates"" or ""sulfate-free"".
Cruelty Free
A product has an independent third-party certification on pack or unqualified on-pack marketing claim relating to being cruelty-free and/or not tested on animals.
Vegan
A product that carries an unqualified independent, third-party certification, or carries on-pack statement relating to the product being 100% vegan.
See how we make shopping for wellness even easier.
Learn more about our wellness icons
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.","Inactive ingredients
Baking Soda, Citric Acid, Food Grade Peg, Fragrance.",19,Target/Beauty/Bath & Body/Bath Bombs,$4.99,https://www.target.com/p/da-bomb-bath-fizzers-earth-bath-bomb/-/A-51236352,Da Bomb Bath Fizzers Earth Bath Bomb,4.3,Bath & Body
Yes To,Beauty,"Chat with a Target Beauty Concierge
Clean
Paraben Free
Cruelty Free
Vegan
Highlights
100% Vegan.
Works its nourishing magic in 5-10 minutes.
Contains vitamin C & E.
Ideal for depleted skin.
Contains 95% natural ingredients
Apply a generous amount to clean skin and let it works its nourishing magic for 5-10 minutes. (Feel free to lie down and close your eyes too!) Rinse off with water to reveal your wellness-boosted skin!
Scent: Carrot
Health Facts: Contains kale, contains vitamin C, formaldehyde donor-free, nonylphenol ethoxylate free, butylparaben-free, propylparaben-free, vegan, phthalate-free, formaldehyde-free, Sulfate-free, sodium lauryl sulfate-free, paraben-free, Petroleum-free
Product Form: Cream
Sustainability Claims: Not tested on animals, cruelty-free
Beauty Purpose: Brightening, nourishing
Recommended Skin Type: Normal, mature, combination, dry
TCIN: 52554034
UPC: 815921022853
Item Number (DPCI): 037-05-2548
Healthcare Disclaimer:
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers.
Clean
Your clear choice for clean.  Ingredients these products are formulated without, by category: • Beauty, Personal Care & Cleaning - formulated without Phthalates, Propyl-paraben & Butyl-paraben, Sodium Laureth Sulfate (SLES). • Feminine Care, Adult Care & Diapers - fragrance free and chlorine free. • Pets - formulated with meat, poultry, or seafood as the first ingredient, and without artificial colors, flavors, or preservatives.
Paraben Free
A product that either carries an unqualified on-pack statement indicating that the product is free from parabens, or carries an unqualified on-pack statement ""no parabens.""
Cruelty Free
A product has an independent third-party certification on pack or unqualified on-pack marketing claim relating to being cruelty-free and/or not tested on animals.
Vegan
A product that carries an unqualified independent, third-party certification, or carries on-pack statement relating to the product being 100% vegan.
See how we make shopping for wellness even easier.
Learn more about our wellness icons
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.","Inactive ingredients
Aloe Barbadensis Leaf Juice, Water, Kaolin, Bentonite, Propanediol, Hamamelis Virginiana (witch Hazel) Water, Magnesium Aluminum Silicate, Cetearyl Alcohol, Titanium Dioxide (ci 77891), Daucus Carota Sativa (carrot) Root Extract, Ricinus Communis (castor) Seed Oil, Iron Oxides (ci 77491), Polyglyceryl-10 Oleate, Hydrogenated Vegetable Glycerides, Glyceryl Stearate, Daucus Carota Sativa Seed Oil, Brassica Oleracea Acephala Leaf Extract, Punica Granatum Extract, Hydrolyzed Jojoba Esters, Salvia Hispanica Seed Oil, Linum Usitatissimum (linseed) Seed Oil, Dipotassium Glycyrrhizate, Tocopheryl Acetate, Ascorbyl Glucoside, Glycerin, Glyceryl Caprylate, Xanthan Gum, Tetrasodium Glutamate Diacetate, Ethylhexylglycerin, Citric Acid, Phenoxyethanol, Fragrance.",19,Target/Beauty/Skin Care/Facial Treatments,$2.99,https://www.target.com/p/yes-to-carrots-38-kale-single-use-mud-face-mask-0-33-fl-oz/-/A-52554034,Yes To Carrots & Kale Single Use Mud Face Mask - 0.33 fl oz,3.4,Skin Care
Kristin Ess,Beauty,"Chat with a Target Beauty Concierge
Paraben Free
Highlights
for pre-lightened or highlighted blonde hair
temporary toning
instant blush color
in-shower application
Rose Gold Temporary Tint
I'm always looking for ways to play with pastel tones in the hair. This is the first ever in-shower watercolor that creates a temporary tone when sprayed on wet hair and then rinsed out. The intensity is up to you. When you spray it on damp, towel-dried hair it will soak up more color and last longer. If you spray it on wet hair it will give you a more subtle tone and will rinse out faster. The pink tone is most visible on pre-lightened/highlighted or blonde hair and washes out in 1-3 shampoos depending on the porosity of your hair.
Rosé all day weekend!
How to:

1. Shampoo your hair and rinse.

2. Apply spray in the shower on wet hair. For a more intense pink color, towel dry the hair before you spray. For a more subtle hint of pink, spray it directly on freshly rinsed hair. (The less water there is on the hair, the more tone the hair will soak up. Think of your hair as a sponge! If it's full of water it can only absorb a little color.)
3. Once you feel you've covered the hair you want to color, wait 1-2 minutes and then rinse.

4. Follow it up with your favorite conditioner or mask.
Tip: Do a small test piece in the sink and then blow dry it. You'll know how much color your hair will soak up and how quickly it will rinse out.

PATCH TEST: Apply a small amount of product to dry, cleansed inner side of elbow. Wait for 48 hours. Do not use this product if you experience any burning, redness, swelling or itching.
Hair Type: All Hair Types
Health Facts: Aluminum-free, paraben-free, contains rose water
Product Form: Liquid
Beauty Purpose: Conditioning
TCIN: 52567714
UPC: 840797112216
Item Number (DPCI): 063-00-3718
Origin: Assem USA w/foreign/dom. parts
Paraben Free
A product that either carries an unqualified on-pack statement indicating that the product is free from parabens, or carries an unqualified on-pack statement ""no parabens.""
See how we make shopping for wellness even easier.
Learn more about our wellness icons
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.","Inactive ingredients
Water, C11-15 Pareth-12, Fragrance, Propylene Glycol, Panthenol, Gelidiella Acerosa Extract, Litchi Chinensis Pericarp Extract, Hypnea Musciformis Extract, Sargassum Filipendula Extract, Salvia Hispanica Seed Oil, Algin, Carrageenan, Coco-glucoside, Hydrolyzed Keratin, Chitosan, Cetearamidoethyldiethonium Succinoyl Hydrolyzed Pea Protein, Behentrimonium Methosulfate, Cetrimonium Chloride, Guar Hydroxypropyltrimonium Chloride, Caprylic/capric Triglyceride, Xanthan Gum, Cetearyl Alcohol, Quaternium-80, Pvp, Glycerin, Sorbitol, Citric Acid, Potassium Sorbate, Phenoxyethanol, Basic Red 51.",233,Target/Beauty/Hair Care/Shampoo & Conditioner,$12.00,https://www.target.com/p/kristin-ess-rose-gold-temporary-tint-7oz/-/A-52567714,Kristin Ess Rose Gold Temporary Tint - 7oz,4.1,Hair Care
Love Beauty and Planet,Beauty,"Chat with a Target Beauty Concierge
Clean
Paraben Free
Cruelty Free
Dye-Free
Vegan
Highlights
OUR HAIR CARE PROMISE: Love Beauty and Planet Tea Tree Oil & Vetiver Radical Refresher Conditioner for hair gently nourishes and purifies to reveal amazing hair that makes you smile.
RADICAL REFRESHER CLEANSING CONDITIONER: Our Tea Tree Oil & Vetiver Hair Conditioner is infused with Organic Coconut Oil for hair. Our tea tree oil conditioner is our best conditioner for detox.
TEA TREE OIL CONDITIONER WITH INGREDIENTS INSPIRED BY NATURE: Infused with Tea Tree Oil, this conditioner for hair will energize your strands and leave your strands full of hair volume.
YES Safe for Colored hair, YES Vegan Conditioner, YES with Plant Based Detanglers, YES Organic Coconut Oil for hair, YES Tea Tree Oil Conditioner
TEA TREE OIL CONDITIONER FORMULA WITH FIVE FREE FROMS: Paraben-free, Silicone-free, Dye-free, Cruelty-free, Phthalate-free
At Love Beauty and Planet we are committed to acts of love that make you and our planet a little more beautiful, everyday. Our goal is a carbon footprint so small it's like we weren't even here. We started our journey by loading our beauty products with goodness. Every one of our conditioner bottles is made from 100% recycled materials and is recyclable. Our caps and pumps aren't made from recycled plastics yet, but we're working on it. All our conditioners are cruelty free, paraben free, silicone free, dye free, phthalate free, vegan, and made with naturally derived ingredients. Our fast-rinse conditioner technology saves you from tangles and can help you save water. Purify to reveal hair that makes you smile with our Radical Refresher Conditioner! Our purifying and volumizing hair conditioner, is made with plant based detanglers and infused with organic coconut oil. Encapsulate your hair in the energizing freshness of Vetiver, sourced ethically from the Region of Les Cayes in Haiti. How to use our conditioner for hair? After shampooing, spread through your gorgeous wet locks. Avoid the roots, rinse. Go easy on the tap! For brilliantly beautiful hair, start with our Love Beauty and Planet Tea Tree Oil & Vetiver Radical Refresher Shampoo. On days where you skip your morning wash, try our other beauty products like our Radical Refresher Dry Shampoo to instantly refresh your hair. Don't stop with beautiful hair! Purify your skin in our Love Beauty and Planet Tea Tree & Vetiver Daily Detox Body Wash. We are starting a beautiful movement. Are you in? To learn more about our beauty products and vegan products, visit lovebeautyplanet.com.
Hair Type: All Hair Types
Health Facts: Paraben-free, phthalate-free, dye-free, vegan, contains tea tree oil, aluminum-free, silicone-free, butylparaben-free, formaldehyde donor-free, formaldehyde-free, nonylphenol ethoxylate free, propylparaben-free
Product Form: Liquid
Sustainability Claims: Plant-based, cruelty-free
Beauty Purpose: Conditioning
TCIN: 52513582
UPC: 055086000239
Item Number (DPCI): 063-00-3680
Origin: Made in the USA
Clean
Your clear choice for clean.  Ingredients these products are formulated without, by category: • Beauty, Personal Care & Cleaning - formulated without Phthalates, Propyl-paraben & Butyl-paraben, Sodium Laureth Sulfate (SLES). • Feminine Care, Adult Care & Diapers - fragrance free and chlorine free. • Pets - formulated with meat, poultry, or seafood as the first ingredient, and without artificial colors, flavors, or preservatives.
Paraben Free
A product that either carries an unqualified on-pack statement indicating that the product is free from parabens, or carries an unqualified on-pack statement ""no parabens.""
Cruelty Free
A product has an independent third-party certification on pack or unqualified on-pack marketing claim relating to being cruelty-free and/or not tested on animals.
Dye-Free
A product that either makes an unqualified on-pack statement indicating that it does not contain dye, or carries an unqualified on-pack statement such as ""no dyes"" or ""dye-free.""
Vegan
A product that carries an unqualified independent, third-party certification, or carries on-pack statement relating to the product being 100% vegan.
See how we make shopping for wellness even easier.
Learn more about our wellness icons
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.","Inactive ingredients
Water, Cetearyl Alcohol*, Behentrimonium Chloride*, Cocos Nucifera (coconut) Oil*, Vetiveria Zizanoides Root Oil*, Melaleuca Alternifolia (tea Tree) Leaf Oil*, Fragrance, Dipropylene Glycol, Acrylates/beheneth-25 Methacrylate Copolymer, Disodium Edta, Methylchloroisothiazolinone, Methylisothiazolinone, Limonene, Linalool",8,Target/Beauty/Hair Care/Shampoo & Conditioner,$6.99,https://www.target.com/p/love-beauty-planet-tea-tree-oil-vetiver-radical-refresher-conditioner-13-5-fl-oz/-/A-52513582,Love Beauty & Planet Tea Tree Oil & Vetiver Radical Refresher Conditioner - 13.5 fl oz,4.1,Hair Care
Yes To,Beauty,"Chat with a Target Beauty Concierge
Clean
Paraben Free
Highlights
Cream mask is easy to apply
Primrose oil helps ease redness and soothe skin
Made with 96% natural ingredients
Treat yourself to some rest, relaxation and rejuvenated skin with the Yes to Miracle Oil PrimRose Oil Mud Mask. This single-use cream face mask is made with primrose oil to help soothe skin and redness, leaving you feeling bright and calm.
Scent: Rose
Health Facts: Paraben-free, Petroleum-free, contains oils, Sulfate-free, formaldehyde-free, phthalate-free, contains rose water, phthalate-free, butylparaben-free, formaldehyde donor-free, nonylphenol ethoxylate free, propylparaben-free, formaldehyde-free
Product Form: Cream
Sustainability Claims: Not tested on animals
Beauty Purpose: Soothing, calming, color correction
Recommended Skin Type: Normal
TCIN: 51084333
UPC: 815921018184
Item Number (DPCI): 037-05-1432
Healthcare Disclaimer:
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers.
Clean
Your clear choice for clean.  Ingredients these products are formulated without, by category: • Beauty, Personal Care & Cleaning - formulated without Phthalates, Propyl-paraben & Butyl-paraben, Sodium Laureth Sulfate (SLES). • Feminine Care, Adult Care & Diapers - fragrance free and chlorine free. • Pets - formulated with meat, poultry, or seafood as the first ingredient, and without artificial colors, flavors, or preservatives.
Paraben Free
A product that either carries an unqualified on-pack statement indicating that the product is free from parabens, or carries an unqualified on-pack statement ""no parabens.""
See how we make shopping for wellness even easier.
Learn more about our wellness icons
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.","Inactive ingredients
Water (aqua), Aloe Barbadensis (aloe Vera) Leaf Juice, Glycerin, Rosa Damascena Flower Water, Bentonite, Hydrogenated Vegetable Glycerides, Cetearyl Alcohol, Kaolin, Carthamus Tinctorius (safflower) Seed Oil, Ethylhexyl Palmitate, Oenothera Biennis (evening Primrose) Oil, Glyceryl Stearate, Polyglyceryl-10 Oleate. Titanium Dioxide (ci 77891), Limnanthes Alba (meadowfoam) Seed Oil, Borago Officinalis Seed Oil, Cocos Nucifera (coconut) Oil, Helianthus Annuus (sunflower) Seed Oil, Rosmarinus Officinalis (rosemary) Leaf Extract, Rosa Damascena Flower Oil, Gardenia Taitensis Flower Extract, Rosa Gallica Flower Extract, Porphyridium Cruentum Extract, Sea Water (maris Aqua/eau De Mer), Ricinus Communis (castor) Seed Oil, Hydrolyzed Jojoba Esters, Allantoin, Tocopherol, Magnesium Aluminum Silicate, Xanthan Gum, Dipotassium Glycyrrhizate, Tetrasodium Glutamate Diacetate, Glyceryl Caprylate, Ethylhexylglycerin, Propanediol, Potassium Sorbate, Sodium Benzoate, Citric Acid, Phenoxyethanol, Mica, Iron Oxides (ci 77491), Fragrance (parfum), Linalool.",45,Target/Beauty/Skin Care/Facial Treatments,$1.49,https://www.target.com/p/yes-to-miracle-oil-mud-face-mask-primrose-33oz/-/A-51084333,Yes to Miracle Oil Mud Face Mask - PrimRose - .33oz,4.7,Skin Care
Que Bella,Beauty,"Chat with a Target Beauty Concierge
Highlights
Face mask set comes with a mud mask and a peel-off mask
Makes a great gift for the beauty guru in your life
Helps improve your skin
...a perfect treat for your skin...
the que bella indulgent rose & green tea mask is enriched with rosehip oil, green tea, aloe vera and a natural active complex that helps to soothe, calm and hydrate skin whilst protecting from external environmental aggressors. Skin is left felein hydrated, cleansed and soothed.

...for a revitalized complexion...
refresh tired skin with this fresh-scented mask, making the most of the anti-oxidant properties of pomegranates. Skin condition will be toned anad improved by helping to draw out impurities, remove dead skin cells and reduce excess oil. It also helps to unblock pores, leaving skin feeling great and refreshed.
Scent: Fresh, Lavender
Health Facts: Contains Aloe, DMDM Hydantoin-free, PABA-free, Petroleum-free, phthalate-free, Sulfate-free, contains antioxidants, contains clay, contains green tea, contains minerals, contains oils, contains titanium dioxide, contains vitamin E, ethyl alcohol-free, formaldehyde donor-free, formaldehyde-free, lanolin-free, mineral oil-free, nonylphenol ethoxylate free, silicone-free, sodium lauryl sulfate-free, water-based, aluminum-free
Product Warning: Adult Use Only
Product Form: Gel
Beauty Purpose: Skin texture improvement, calming, spot treatment
Recommended Skin Type: Normal
TCIN: 51169091
UPC: 5060242151859
Item Number (DPCI): 037-08-1970
Healthcare Disclaimer:
Content on this site is for reference purposes only. Target does not represent or warrant that the nutrition, ingredient, allergen and other product information on our Web or Mobile sites are accurate or complete, since this information comes from the product manufacturers. On occasion, manufacturers may improve or change their product formulas and update their labels. We recommend that you do not rely solely on the information presented on our Web or Mobile sites and that you review the product's label or contact the manufacturer directly if you have specific product concerns or questions. If you have specific healthcare concerns or questions about the products displayed, please contact your licensed healthcare professional for advice or answers.
If the item details above aren’t accurate or complete, we want to know about it. Report incorrect product info.",,2,Target/Beauty/Skin Care/Facial Treatments,$2.99,https://www.target.com/p/que-bella-limited-edition-seasonal-duo-face-mask/-/A-51169091,Que Bella Limited Edition Seasonal Duo Face Mask,1.0,Skin Care
